Cod. Municipio|Departamento|Municipio|Actividades primarias|Actividades secundarias|Actividades terciarias|Valor agregado 2022|Peso relativo municipal en el valor agregado departamental (%)|% Act. primarias municipio|% Act. secundarias municipio|% Act. terciarias municipio|Valor agregado 2021|Crecimiento 2022
05541|Antioquia|Peñol|468,59639183757184|34,74051347094792|237,6021189196424|740,9390242281622|0,38696256793138634|63,24358368432675|4,688714230855527|32,06770208481771|587,4042042490978|26,137848328023814
05543|Antioquia|Peque|29,828433151362916|4,9359440009801325|78,49794905841004|113,26232621075309|0,059152344750705244|26,33570592207298|4,357975123869137|69,30631895405789|93,94670391779232|20,560191563360043
05576|Antioquia|Pueblorrico|80,48632658107203|11,012426880223272|97,90517250339987|189,4039259646952|0,09891803126975708|42,49453973624319|5,814254812371726|51,691205451385066|131,02662148085787|44,55377374770046
05579|Antioquia|Puerto Berrío|128,7338157964437|65,46470456581861|732,1192469210916|926,317767283354|0,48377840851591464|13,897370896165153|7,067197335295569|79,03543176853928|755,2113420089365|22,65676053265533
05585|Antioquia|Puerto Nare|196,62747794969007|57,61189387897657|395,6009408211037|649,8403126497703|0,33938538517422623|30,257814746507105|8,865546313071892|60,876638940421|551,964508990016|17,732263952776115
05591|Antioquia|Puerto Triunfo|30,88132965345413|30,192970504242883|226,82012447154105|287,8944246292381|0,15035564628777534|10,726616082692237|10,48751483920767|78,78586907810009|237,0427188548939|21,452549152320998
05604|Antioquia|Remedios|856,3466327513014|20,286577029733138|332,0185052057582|1208,6517149867927|0,6312300419770315|70,85139764689441|1,678446882438322|27,47015547066727|1543,1542444166412|-21,676545338233545
05607|Antioquia|Retiro|165,28647064292645|52,4634446116157|627,2596917149675|845,0096069695096|0,4413144358002147|19,56030668523399|6,208621082991868|74,23107223177415|602,9578775852722|40,144052906914006
05615|Antioquia|Rionegro|94,86382874743795|2542,913807473306|2797,024541408794|5434,802177629537|2,8383779745511246|1,7454881640018423|46,789445583508474|51,4650662524897|4514,633473676056|20,381913821328013
05628|Antioquia|Sabanalarga|34,633625083581194|5,909348001554347|87,24367618319624|127,78664926833179|0,06673781287162173|27,1026944378642|4,624386064889807|68,272919497246|104,45215062280566|22,33989296188925
05631|Antioquia|Sabaneta|10,32171112468021|1386,3682363357575|2758,4193408311203|4155,109288291558|2,170045992526552|0,24841009967572122|33,3653856047138|66,38620429561047|3571,596031684598|16,33760513312412
05642|Antioquia|Salgar|233,7495218570998|19,193868149375|181,87251780444046|434,8159078109153|0,22708681114374155|53,75827279041236|4,4142515958090645|41,82747561377856|384,44453914353113|13,1023759056643
05647|Antioquia|San Andrés de Cuerquía|31,572586561309972|4,963749551011935|74,43574257562351|110,97207868794541|0,057956240842495864|28,450928318728174|4,4729715886191945|67,07610009265264|94,10687353753246|17,921331903228754
05649|Antioquia|San Carlos|43,94109448707637|51,48131923563182|1095,2962830142417|1190,7186967369498|0,6218643498406936|3,6903002033555627|4,323550085902861|91,98614971074159|1020,1898199914191|16,71540662373645
05652|Antioquia|San Francisco|13,911943544948189|3,617429763135825|59,655881284916774|77,18525459300079|0,04031074534757941|18,024094910752204|4,68668501802656|77,28922007122124|85,3348241998726|-9,550110032199466
05656|Antioquia|San Jerónimo|32,57861532213|12,418461171796944|236,71228442489794|281,70936091882487|0,14712543697508065|11,564619370783918|4,408252935327679|84,02712769388842|224,24803263008073|25,624005532986004
05658|Antioquia|San José de La Montaña|7,4909482611073015|2,806583224692656|45,84984378513906|56,147375270939015|0,02932350950212506|13,341582264459825|4,998600933969747|81,65981680157043|44,249790305500056|26,887325077244807
