Cod. Municipio|Departamento|Municipio|AÑO|Población municipio|Total Hombres|Total Mujeres|% mujeres municipio|% jóvenes municipio
15215|Boyacá|Corrales|2024|2674|1382|1292|48,317127898279736|23,63500373971578
15218|Boyacá|Covarachía|2024|2941|1538|1403|47,704862291737506|18,089085345120708
15223|Boyacá|Cubará|2024|11295|5662|5633|49,87162461266047|25,542275343072156
15224|Boyacá|Cucaita|2024|4020|2032|1988|49,45273631840796|24,228855721393035
15226|Boyacá|Cuítiva|2024|1910|938|972|50,890052356020945|19,581151832460733
15232|Boyacá|Chíquiza|2024|5026|2576|2450|48,74651810584958|20,712296060485475
15236|Boyacá|Chivor|2024|2664|1447|1217|45,68318318318318|18,46846846846847
15238|Boyacá|Duitama|2024|132894|63376|69518|52,31086429786145|23,889716616250546
15244|Boyacá|El Cocuy|2024|4422|2275|2147|48,55269109000452|20,33016734509272
15248|Boyacá|El Espino|2024|3248|1621|1627|50,09236453201971|21,64408866995074
15272|Boyacá|Firavitoba|2024|7194|3548|3646|50,68112315818738|20,33639143730887
15276|Boyacá|Floresta|2024|3461|1644|1817|52,499277665414624|19,4452470384282
15293|Boyacá|Gachantivá|2024|2958|1564|1394|47,12643678160919|18,154158215010142
15296|Boyacá|Gámeza|2024|5165|2652|2513|48,65440464666022|20,929332042594385
15299|Boyacá|Garagoa|2024|19415|9247|10168|52,371877414370324|19,3046613443214
15317|Boyacá|Guacamayas|2024|1967|963|1004|51,04219623792577|19,522114895780376
15322|Boyacá|Guateque|2024|11523|5453|6070|52,677254187277626|18,311203679597327
15325|Boyacá|Guayatá|2024|3527|1756|1771|50,21264530762688|13,55259427275305
15332|Boyacá|Güicán de La Sierra|2024|4545|2309|2236|49,1969196919692|21,936193619361934
15362|Boyacá|Iza|2024|2094|1046|1048|50,04775549188156|21,776504297994272
15367|Boyacá|Jenesano|2024|7755|3819|3936|50,75435203094778|18,82656350741457
15368|Boyacá|Jericó|2024|4168|2178|1990|47,7447216890595|21,665067178502877
15377|Boyacá|Labranzagrande|2024|3730|2026|1704|45,683646112600535|19,758713136729224
15380|Boyacá|La Capilla|2024|2851|1453|1398|49,03542616625745|16,029463346194316
15401|Boyacá|La Victoria|2024|1197|620|577|48,20384294068504|20,133667502088553
15403|Boyacá|La Uvita|2024|3220|1659|1561|48,47826086956522|19,130434782608695
15407|Boyacá|Villa de Leyva|2024|17627|8623|9004|51,08072842797981|23,265445055880186
15425|Boyacá|Macanal|2024|5355|2725|2630|49,11297852474323|17,703081232493
15442|Boyacá|Maripí|2024|6078|3388|2690|44,257979598552154|20,006581112207964
15455|Boyacá|Miraflores|2024|9481|4786|4695|49,520092817213374|19,76584748444257
15464|Boyacá|Mongua|2024|4944|2401|2543|51,43608414239482|21,966019417475728
15466|Boyacá|Monguí|2024|4485|2123|2362|52,6644370122631|22,229654403567448
15469|Boyacá|Moniquirá|2024|24356|12081|12275|50,39825915585482|20,33585153555592
15476|Boyacá|Motavita|2024|6021|2963|3058|50,788905497425674|23,55090516525494
15480|Boyacá|Muzo|2024|9094|4866|4228|46,49219265449747|23,58698042665494
15491|Boyacá|Nobsa|2024|17334|8369|8965|51,71916464751356|23,42217607015115
15494|Boyacá|Nuevo Colón|2024|5493|2834|2659|48,4070635354087|19,424722373930457
15500|Boyacá|Oicatá|2024|3047|1540|1507|49,458483754512635|22,284213980964886
15507|Boyacá|Otanche|2024|8613|4418|4195|48,705445257169394|22,338325786601647
15511|Boyacá|Pachavita|2024|2618|1345|1273|48,62490450725745|14,209320091673034
15514|Boyacá|Páez|2024|3479|1850|1629|46,82379994251222|21,44294337453291
15516|Boyacá|Paipa|2024|36429|17661|18768|51,51939388948365|22,652282522166406
15518|Boyacá|Pajarito|2024|2544|1326|1218|47,87735849056604|22,72012578616352
15522|Boyacá|Panqueba|2024|1814|877|937|51,653803748621826|18,74310915104741
15531|Boyacá|Pauna|2024|7627|3943|3684|48,302084699095325|18,80162580306805
15533|Boyacá|Paya|2024|2795|1473|1322|47,29874776386404|26,29695885509839
15537|Boyacá|Paz de Río|2024|4515|2229|2286|50,631229235880404|20,753045404208194
15542|Boyacá|Pesca|2024|7193|3663|3530|49,07549005978034|20,42263311552899
15550|Boyacá|Pisba|2024|1875|987|888|47,36|25,546666666666667
15572|Boyacá|Puerto Boyacá|2024|50667|25120|25547|50,42137880671837|23,668265340359603
15580|Boyacá|Quípama|2024|5272|2780|2492|47,268588770864945|19,916540212443095
15599|Boyacá|Ramiriquí|2024|10644|5297|5347|50,23487410747839|22,980082675685832
15600|Boyacá|Ráquira|2024|8518|4520|3998|46,93590044611411|23,13923456210378
15621|Boyacá|Rondón|2024|2548|1273|1275|50,0392464678179|18,171114599686028
15632|Boyacá|Saboyá|2024|14623|7146|7477|51,13177870478014|21,561922998016822
15638|Boyacá|Sáchica|2024|5933|3048|2885|48,626327321759646|26,007079049384796
15646|Boyacá|Samacá|2024|19850|9982|9868|49,712846347607055|25,088161209068012
15660|Boyacá|San Eduardo|2024|1767|921|846|47,87775891341256|19,807583474816074
15664|Boyacá|San José de Pare|2024|5328|2787|2541|47,69144144144144|16,6478978978979
15667|Boyacá|San Luis de Gaceno|2024|5877|3008|2869|48,8174238557087|19,82303896545857
15673|Boyacá|San Mateo|2024|3568|1754|1814|50,84080717488789|18,27354260089686
15676|Boyacá|San Miguel de Sema|2024|3203|1603|1600|49,953168904152356|18,389010302841086
15681|Boyacá|San Pablo de Borbur|2024|7099|3882|3217|45,316241724186504|20,439498520918438
15686|Boyacá|Santana|2024|8130|4194|3936|48,413284132841326|21,894218942189422
